time,backEMFReal,backEMFImag
2017-02-13 18:19:56.960900,,
2017-02-13 18:19:57.037300,,
2017-02-13 18:19:57.108800,,
2017-02-13 18:19:57.158900,0.0,0.0
2017-02-13 18:19:57.206800,0.0,0.0
2017-02-13 18:19:57.252700,0.0,0.0
2017-02-13 18:19:57.294900,0.0,0.0
2017-02-13 18:19:57.712400,0.0,0.0
2017-02-13 18:19:57.755400,0.0,0.0
2017-02-13 18:19:57.805100,0.0,0.0
2017-02-13 18:19:57.857000,0.0,0.0
2017-02-13 18:19:57.910000,0.0,0.0
2017-02-13 18:19:57.956500,0.0,0.0
2017-02-13 18:19:57.998400,0.0,0.0
2017-02-13 18:19:58.315200,0.0,0.0
2017-02-13 18:19:58.353500,0.0,0.0
2017-02-13 18:19:58.400200,0.0,0.0
2017-02-13 18:19:58.442300,0.0,0.0
2017-02-13 18:19:58.515100,0.0,0.0
2017-02-13 18:19:58.553300,0.0,0.0
2017-02-13 18:19:58.627300,0.0,0.0
2017-02-13 18:19:58.904900,0.0,0.0
2017-02-13 18:19:58.964100,0.0,0.0
2017-02-13 18:19:59.001800,0.0,0.0
2017-02-13 18:19:59.069100,0.0,0.0
2017-02-13 18:19:59.125100,0.0,0.0
2017-02-13 18:19:59.164700,0.0,0.0
2017-02-13 18:19:59.203800,0.0,0.0
2017-02-13 18:19:59.467800,0.0,0.0
2017-02-13 18:19:59.506100,0.0,0.0
2017-02-13 18:19:59.543500,0.0,0.0
2017-02-13 18:19:59.581000,0.0,0.0
2017-02-13 18:20:00.027800,0.0,0.0
2017-02-13 18:20:01.561900,0.0,0.0
2017-02-13 18:20:01.613700,0.0,0.0
2017-02-13 18:20:01.648900,0.0,0.0
2017-02-13 18:20:01.686700,0.0,0.0
2017-02-13 18:20:01.720100,0.0,0.0
2017-02-13 18:20:01.748000,0.0,0.0
2017-02-13 18:20:01.776400,0.0,0.0
2017-02-13 18:20:01.807200,0.0,0.0
2017-02-13 18:20:02.055200,0.0,0.0
2017-02-13 18:20:02.086100,0.0,0.0
2017-02-13 18:20:02.142400,0.0,0.0
2017-02-13 18:20:02.171700,0.0,0.0
2017-02-13 18:20:02.200700,0.0,0.0
2017-02-13 18:20:02.232900,0.0,0.0
2017-02-13 18:20:02.262900,0.0,0.0
2017-02-13 18:20:04.185900,0.0,0.0
2017-02-13 18:20:04.215700,0.0,0.0
2017-02-13 18:20:04.247300,0.0,0.0
2017-02-13 18:20:04.305300,0.0,0.0
2017-02-13 18:20:04.340200,0.0,0.0
2017-02-13 18:20:04.375500,0.0,0.0
2017-02-13 18:20:04.410100,0.0,0.0
2017-02-13 18:20:04.683300,0.0,0.0
2017-02-13 18:20:04.712800,0.0,0.0
2017-02-13 18:20:04.743500,0.0,0.0
2017-02-13 18:20:04.772900,0.0,0.0
2017-02-13 18:20:04.806200,0.0,0.0
2017-02-13 18:20:04.835200,0.0,0.0
2017-02-13 18:20:04.866000,0.0,0.0
2017-02-13 18:20:05.118100,0.0,0.0
2017-02-13 18:20:05.150000,0.0,0.0
2017-02-13 18:20:05.180500,0.0,0.0
2017-02-13 18:20:05.214700,0.0,0.0
2017-02-13 18:20:05.244600,0.0,0.0
2017-02-13 18:20:05.302800,0.0,0.0
2017-02-13 18:20:05.332300,0.0,0.0
2017-02-13 18:20:05.570500,0.0,0.0
2017-02-13 18:20:05.630100,0.0,0.0
2017-02-13 18:20:05.659100,0.0,0.0
2017-02-13 18:20:05.690300,0.0,0.0
2017-02-13 18:20:05.719900,0.0,0.0
2017-02-13 18:20:05.770000,0.0,0.0
2017-02-13 18:20:05.799200,0.0,0.0
2017-02-13 18:20:05.830400,0.0,0.0
2017-02-13 18:20:05.859900,0.0,0.0
2017-02-13 18:20:05.893500,0.0,0.0
2017-02-13 18:20:05.922800,0.0,0.0
2017-02-13 18:20:05.981300,0.0,0.0
2017-02-13 18:20:06.010900,0.0,0.0
2017-02-13 18:20:06.044300,0.0,0.0
2017-02-13 18:20:06.073400,0.0,0.0
2017-02-13 18:20:06.317700,0.0,0.0
2017-02-13 18:20:06.346900,0.0,0.0
2017-02-13 18:20:06.377800,0.0,0.0
2017-02-13 18:20:06.407300,0.0,0.0
2017-02-13 18:20:06.444600,0.0,0.0
2017-02-13 18:20:06.473900,0.0,0.0
2017-02-13 18:20:06.528300,0.0,0.0
2017-02-13 18:20:06.842900,0.0,0.0
2017-02-13 18:20:06.881900,0.0,0.0
2017-02-13 18:20:06.916100,0.0,0.0
2017-02-13 18:20:06.946800,0.0,0.0
2017-02-13 18:20:07.004200,0.0,0.0
2017-02-13 18:20:07.037500,0.0,0.0
2017-02-13 18:20:07.067100,0.0,0.0
2017-02-13 18:20:07.284800,0.0,0.0
2017-02-13 18:20:07.314900,0.0,0.0
2017-02-13 18:20:07.374200,0.0,0.0
2017-02-13 18:20:07.404400,0.0,0.0
2017-02-13 18:20:07.438800,0.0,0.0
2017-02-13 18:20:07.472400,0.0,0.0
2017-02-13 18:20:07.503900,0.0,0.0
2017-02-13 18:20:07.781700,0.0,0.0
2017-02-13 18:20:07.827700,0.0,0.0
2017-02-13 18:20:07.855500,0.0,0.0
2017-02-13 18:20:07.899500,0.0,0.0
2017-02-13 18:20:07.930100,0.0,0.0
2017-02-13 18:20:07.959200,0.0,0.0
2017-02-13 18:20:07.987100,0.0,0.0
2017-02-13 18:20:08.229900,0.0,0.0
2017-02-13 18:20:08.258100,0.0,0.0
2017-02-13 18:20:08.302500,0.0,0.0
2017-02-13 18:20:08.333200,0.0,0.0
2017-02-13 18:20:08.362400,0.0,0.0
2017-02-13 18:20:08.390300,0.0,0.0
2017-02-13 18:20:08.445700,0.0,0.0
2017-02-13 18:20:08.499100,0.0,0.0
2017-02-13 18:20:08.528600,0.0,0.0
2017-02-13 18:20:08.556700,0.0,0.0
2017-02-13 18:20:08.585700,0.0,0.0
2017-02-13 18:20:08.642900,0.0,0.0
2017-02-13 18:20:08.671000,0.0,0.0
2017-02-13 18:20:10.613100,0.0,0.0
2017-02-13 18:20:10.656000,0.0,0.0
2017-02-13 18:20:10.700600,0.0,0.0
2017-02-13 18:20:10.789500,0.0,0.0
2017-02-13 18:20:10.829200,0.0,0.0
2017-02-13 18:20:10.863400,0.0,0.0
2017-02-13 18:20:10.892900,0.0,0.0
2017-02-13 18:20:11.122200,0.0,0.0
2017-02-13 18:20:11.206700,0.0,0.0
2017-02-13 18:20:11.252400,0.0,0.0
2017-02-13 18:20:11.286100,0.0,0.0
2017-02-13 18:20:11.315500,0.0,0.0
2017-02-13 18:20:11.346200,0.0,0.0
2017-02-13 18:20:11.374100,0.0,0.0
2017-02-13 18:20:11.587200,0.0,0.0
2017-02-13 18:20:11.675900,0.0,0.0
2017-02-13 18:20:11.715300,0.0,0.0
2017-02-13 18:20:11.750700,0.0,0.0
2017-02-13 18:20:11.787300,0.0,0.0
2017-02-13 18:20:11.820700,0.0,0.0
2017-02-13 18:20:11.854500,0.0,0.0
2017-02-13 18:20:12.103000,0.0,0.0
2017-02-13 18:20:12.138300,0.0,0.0
2017-02-13 18:20:12.192100,0.0,0.0
2017-02-13 18:20:12.224400,0.0,0.0
2017-02-13 18:20:12.253900,0.0,0.0
2017-02-13 18:20:12.288200,0.0,0.0
2017-02-13 18:20:12.318500,0.0,0.0
2017-02-13 18:20:12.563400,0.0,0.0
2017-02-13 18:20:12.596800,0.0,0.0
2017-02-13 18:20:12.626100,0.0,0.0
2017-02-13 18:20:12.671700,0.0,0.0
2017-02-13 18:20:12.700000,0.0,0.0
2017-02-13 18:20:12.733600,0.0,0.0
2017-02-13 18:20:12.762600,0.0,0.0
2017-02-13 18:20:12.822000,0.0,0.0
2017-02-13 18:20:12.850100,0.0,0.0
2017-02-13 18:20:12.900000,0.0,0.0
2017-02-13 18:20:12.929000,0.0,0.0
2017-02-13 18:20:12.963000,0.0,0.0
2017-02-13 18:20:12.990800,0.0,0.0
2017-02-13 18:20:13.244800,0.0,0.0
2017-02-13 18:20:13.273600,0.0,0.0
2017-02-13 18:20:13.324900,0.0,0.0
2017-02-13 18:20:13.355000,0.0,0.0
2017-02-13 18:20:13.386600,0.0,0.0
2017-02-13 18:20:13.415800,0.0,0.0
2017-02-13 18:20:13.451000,0.0,0.0
2017-02-13 18:20:13.737800,0.0,0.0
2017-02-13 18:20:13.769100,0.0,0.0
2017-02-13 18:20:13.797500,0.0,0.0
2017-02-13 18:20:13.831900,0.0,0.0
2017-02-13 18:20:13.861900,0.0,0.0
2017-02-13 18:20:13.893100,0.0,0.0
2017-02-13 18:20:13.952500,0.0,0.0
2017-02-13 18:20:14.198200,0.0,0.0
2017-02-13 18:20:14.228800,0.0,0.0
2017-02-13 18:20:14.263700,0.0,0.0
2017-02-13 18:20:14.293800,0.0,0.0
2017-02-13 18:20:14.352200,0.0,0.0
2017-02-13 18:20:14.380000,0.0,0.0
2017-02-13 18:20:14.413400,0.0,0.0
2017-02-13 18:20:14.643300,0.0,0.0
2017-02-13 18:20:14.672700,0.0,0.0
2017-02-13 18:20:14.733700,0.0,0.0
2017-02-13 18:20:14.766000,0.0,0.0
2017-02-13 18:20:14.804300,0.0,0.0
2017-02-13 18:20:14.839000,0.0,0.0
2017-02-13 18:20:14.874300,0.0,0.0
2017-02-13 18:20:15.175800,0.0,0.0
2017-02-13 18:20:15.225700,0.0,0.0
2017-02-13 18:20:15.280000,0.0,0.0
2017-02-13 18:20:15.318400,0.0,0.0
2017-02-13 18:20:15.360800,0.0,0.0
2017-02-13 18:20:15.434600,0.0,0.0
2017-02-13 18:20:15.470600,0.0,0.0
2017-02-13 18:20:15.508900,0.0,0.0
2017-02-13 18:20:15.564400,0.0,0.0
2017-02-13 18:20:15.614600,0.0,0.0
2017-02-13 18:20:15.652400,0.0,0.0
2017-02-13 18:20:15.689600,0.0,0.0
2017-02-13 18:20:15.758600,0.0,0.0
2017-02-13 18:20:15.998700,0.0,0.0
2017-02-13 18:20:16.068200,0.0,0.0
2017-02-13 18:20:16.098200,0.0,0.0
2017-02-13 18:20:16.256300,0.0,0.0
2017-02-13 18:20:16.306000,0.0,0.0
2017-02-13 18:20:16.380200,0.0,0.0
2017-02-13 18:20:16.478600,0.0,0.0
2017-02-13 18:20:16.948300,0.0,0.0
2017-02-13 18:20:16.993200,0.0,0.0
2017-02-13 18:20:17.144300,0.0,0.0
2017-02-13 18:20:17.190300,0.0,0.0
2017-02-13 18:20:17.400800,0.0,0.0
2017-02-13 18:20:17.480600,0.0,0.0
2017-02-13 18:20:17.722000,0.0,0.0
2017-02-13 18:20:17.803300,0.0,0.0
2017-02-13 18:20:17.914000,0.0,0.0
2017-02-13 18:20:18.111700,0.0,0.0
2017-02-13 18:20:18.152300,0.0,0.0
2017-02-13 18:20:18.525900,0.0,0.0
2017-02-13 18:20:18.562500,0.0,0.0
2017-02-13 18:20:18.792700,0.0,0.0
2017-02-13 18:20:18.831900,0.0,0.0
2017-02-13 18:20:18.955600,0.0,0.0
2017-02-13 18:20:19.022400,0.0,0.0
2017-02-13 18:20:19.058600,0.0,0.0
2017-02-13 18:20:19.274600,0.0,0.0
2017-02-13 18:20:19.318900,0.0,0.0
2017-02-13 18:20:19.510900,0.0,0.0
2017-02-13 18:20:19.551100,0.0,0.0
2017-02-13 18:20:19.816700,0.0,0.0
2017-02-13 18:20:20.040900,0.0,0.0
2017-02-13 18:20:20.081100,0.0,0.0
2017-02-13 18:20:20.226700,0.0,0.0
